City,Region,tif_count,Latitude,Longitude,bio_1.tif,bio_10.tif,bio_11.tif,bio_12.tif,bio_13.tif,bio_14.tif,bio_15.tif,bio_16.tif,bio_17.tif,bio_18.tif,bio_19.tif,bio_2.tif,bio_3.tif,bio_4.tif,bio_5.tif,bio_6.tif,bio_7.tif,bio_8.tif,bio_9.tif
Aksum,AFRICA,0.270000002,14.15125005,38.70371923,162.4425993,180.8889072,144.9962913,976.7213558,290.2421678,2.816672217,115.3147349,676.5269019,11.70928814,173.7758776,11.70928814,113,63.55369204,1430.966954,251.6259271,73.70557945,177.7370198,162.3352152,144.9962913
Akureyi,NORTH AMERICA,0.290000002,65.74420958,-18.1608185,19.90654204,88.94101523,-31.98826774,427.7554848,55.2760554,22.00063518,28.82182185,147.0339999,72.49856046,83.17516416,114.1845176,59.10519022,31,5131.058315,122.9036359,-66.98826774,189.9626207,15.92271569,46.13283119
Al Ahmadi,ASIA,0.180000001,29.14368885,48.00943013,265.5621039,376.3907899,144.4593566,121.5172936,25.87306907,0,80.26658206,65.74886124,2,2,57.86370038,119.196126,31.88516086,9582.661274,449.7138468,81.86223825,367.5775472,163.7917822,376.3907899
Al Amarah,ASIA,0.810000006,31.89096199,47.10802297,257,383,123,207.2776973,43.37760228,0,93.2238813,114.289781,0,0,114.289781,142.2979532,33.30678363,10712.82474,479.2238813,58.30678363,420.6932164,123,383
Al Ayn,ASIA,1.940000016,24.23315836,55.68682396,273.2102134,345.0181964,191.3283391,128.8502087,34.20042758,0,92.41553852,64.79329968,6.474919357,30.44382004,37.14658024,140.2002546,46,6333.450723,427.9357216,123.1279115,304.1572897,341.1670755,307.410641
Al Bayda,AFRICA,0.01,32.83319395,21.58319364,172,233,113,621,138,0,100,373,2,10,373,74,36,4944,282,78,204,113,228
Al Fallujah,ASIA,0.330000003,33.40158695,43.74986022,238.179284,364,106.179284,143.9242962,24.64143208,0,81.82071604,67.46214812,0,0,64.64143208,131,31,10620.62148,456,44.17928396,411.820716,127.179284,364
Al Fujayrah,ASIA,0.370000003,25.1417902,56.31536445,281.4410508,346.4410508,207.2271022,146.6765874,27.59369071,0,77.59369071,66.37974207,5.213948636,25.21394864,52.86894808,104.9602792,41.21394864,5767.252552,411.6765874,158.2055142,253.2571246,213.2271022,329.4539442
Al Hasakah,ASIA,0.480000004,36.548675,40.70660305,190.4576284,317.709728,63.70972803,361.9798435,64.26175778,0,78.51908619,169.2957208,0,1.875025265,169.2957208,120.814587,30,10414.9764,409.8579881,7.22881422,402.6291739,64.71812641,317.709728
Al Hillah,ASIA,1.510000012,32.52810785,44.36650053,244.0394028,367.7355462,112.925487,126.9151996,28.39957462,0,84.7355462,67.47730121,0,0,67.47730121,134.7355462,32.03940281,10506.15373,460.954196,50.03940281,410.9147932,112.925487,367.3316814
Al Hudaydah,ASIA,1.040000008,14.84048593,42.94868569,290.9897395,319.5958302,256,223.2828558,49.43785563,2,94.1201647,143.1048753,10.37564514,78.87571127,17,57.11479468,43.74328667,2603.672342,353.3327228,222.7547801,129.9821125,310.2384492,261.5304579
Al Hufuf,ASIA,1.21000001,25.43732667,49.5379354,266.2905041,359.024242,160.4569025,132.6376151,29.75040773,0,74.43470117,55.84076403,7,34.75040773,39.16639847,139.2692632,39,8148.24584,447.2692632,92.7968511,353.4966541,354,345
Al Jaghbub,AFRICA,0.01,29.75125431,24.49986029,217.9331034,293.9331034,133.9498276,14.03344828,4,0,67.06689656,9.016724139,0,0,9.016724139,126,41,6629.23069,374.9498276,73.94982758,300.9832759,134.0668966,277
Al Jahra,ASIA,0.530000004,29.37114018,47.64155428,268.6720896,384.6720896,140.5022866,110.8917462,20.95942287,0,79.7003289,59.9587808,1,1,52.50342624,139.5993422,34.2996711,10058.05068,470.2714318,70.20261545,399.4842359,158.917064,384.6720896
Al Jawf,AFRICA,0.190000001,24.24986065,23.2498603,225,306,128,0,0,0,0,0,0,0,0,154,43,7410,393,41,351,148,148
Al Jubayl,ASIA,0.470000004,27.03015074,49.59932945,266.9992801,354.6120179,169.7493036,127.8070888,23.36348115,0,66,59.17056994,3,17,53.17056994,93.19137762,31.44288776,7661.440728,413.74777,121.693678,291.6097645,189.7500235,337.2492567
Al Karak,ASIA,0.880000007,31.18381032,35.67615542,154.4785048,234.5940469,68.36296272,256.7472565,59.09037609,0,110.312285,167.1402966,0,0,166.0954242,134.2712052,42,6786.623728,320.704644,5.363342828,315.0233078,72.6284032,232.1154454
Al Khalil,ASIA,1.450000012,31.57009091,35.07238006,153.2686787,227.6834028,75.28913562,499.6929137,125.9825473,0,112.4333463,328.4587799,0,0,328.4587799,117.0824228,41.24149396,6185.204747,300.193865,19.08154166,280.8228982,75.28913562,223.6834028
Al Kharj,ASIA,0.660000005,24.18561451,47.28283676,267,362.2290462,158.2290462,138.6363483,29.16667243,0,69.84849829,51.40909571,9,33.16667243,33,135,37,8369.153941,444.2290462,86.22904622,358,358.2290462,347.2290462
Al Khums,AFRICA,0.150000001,32.66662021,14.23893544,203.4744902,271.4733752,137.3445066,275.7943973,57.13444379,0,87.74114775,150.0100353,1,10.26219736,147.141134,69.12663854,31.99888496,5488.557302,319.4700301,103.3467367,215.1244085,155.3445066,264.4733752
